year,hex,length,weight
2017 Release Fish ,3215,80,5.6
2017 Release Fish ,3225,82,6.1
2017 Release Fish ,3229,77,5.1
2017 Release Fish ,322D,82,6
2017 Release Fish ,3235,89,7.8
2017 Release Fish ,3245,75,4.7
2017 Release Fish ,3249,76,4.9
2017 Release Fish ,324B,91,9.2
2017 Release Fish ,324D,90,9.1
2017 Release Fish ,3252,86,7.6
2017 Release Fish ,3253,76,5.1
2017 Release Fish ,3254,84,6.9
2017 Release Fish ,3255,77,4.9
2017 Release Fish ,3257,81,5.8
2017 Release Fish ,3259,89,8.7
2017 Release Fish ,325A,81,6.4
2017 Release Fish ,325B,79,6
2017 Release Fish ,325D,75,4.9
2017 Release Fish ,3265,83,6.6
2017 Release Fish ,3269,78,5.4
2017 Release Fish ,326D,80,5.4
2017 Release Fish ,3275,77,5
2017 Release Fish ,3285,77,4.8
2017 Release Fish ,328A,86,7.3
2017 Release Fish ,328B,82,6.1
2017 Release Fish ,328D,88,8
2017 Release Fish ,3292,80,6.1
2017 Release Fish ,3293,80,6
2017 Release Fish ,3296,92,9.2
2017 Release Fish ,3299,82,6.6
2017 Release Fish ,329A,88,8.8
2017 Release Fish ,329B,77,5.1
2017 Release Fish ,329D,89,8.6
2017 Release Fish ,32A1,82,6.4
2017 Release Fish ,32A2,79,5
2017 Release Fish ,32A4,96,9.9
2017 Release Fish ,32A6,82,6.5
2017 Release Fish ,32A7,90,8.3
2017 Release Fish ,32A8,85,7.1
2017 Release Fish ,32A9,75,4.8
2017 Release Fish ,32AC,83,6.4
2017 Release Fish ,32AE,79,5.5
2017 Release Fish ,32B1,86,7
2017 Release Fish ,32B2,85,7.7
2017 Release Fish ,32B3,79,7.6
2017 Release Fish ,32B4,83,6.4
2017 Release Fish ,32B6,89,8
2017 Release Fish ,32B7,77,5.1
2017 Release Fish ,32B9,81,5.7
2017 Release Fish ,32BA,90,8.2
2017 Release Fish ,32BB,78,4.86
2017 Release Fish ,32BD,75,4.8
2017 Release Fish ,32CA,83,6.8
2017 Release Fish ,32CB,82,5.6
2017 Release Fish ,32CD,79,5.5
2017 Release Fish ,3329,81,6
2017 Release Fish ,332B,84,6.7
2017 Release Fish ,3335,77,5.4
2017 Release Fish ,3349,74,4.7
2017 Release Fish ,334B,76,5.2
2017 Release Fish ,3351,81,5.8
2017 Release Fish ,3352,82,6.3
2017 Release Fish ,3353,75,4.8
2017 Release Fish ,3354,89,8.3
2017 Release Fish ,3356,82,6.2
2017 Release Fish ,3357,86,7.8
2017 Release Fish ,3359,81,5.7
2017 Release Fish ,335A,82,6.1
2017 Release Fish ,3365,81,5.8
2017 Release Fish ,3369,76,5.1
2017 Release Fish ,336A,72,5.1
2017 Release Fish ,336B,86,7.5
2017 Release Fish ,336D,80,6.1
2017 Release Fish ,3395,79,5.6
2017 Release Fish ,33A5,83,6
2017 Release Fish ,33AB,85,6.7
2017 Release Fish ,33AD,80,6.2
2017 Release Fish ,33B5,76,4.9
2017 Release Fish ,33D5,82,6.2
2017 Release Fish ,3415,82,6.4
2017 Release Fish ,3493,77,5
2017 Release Fish ,3494,84,6.6
2017 Release Fish ,3496,82,6.6
2017 Release Fish ,3499,78,5.5
2017 Release Fish ,3524,79,5.9
2017 Release Fish ,3528,88,7.3
2017 Release Fish ,352D,80,6.2
2017 Release Fish ,352E,78,5.3
2017 Release Fish ,352F,81,6.2
2017 Release Fish ,3531,88,8.3
2017 Release Fish ,3532,81,5.8
2017 Release Fish ,3535,87,7.9
2017 Release Fish ,3536,75,5
2017 Release Fish ,3537,76,4.9
2017 Release Fish ,353B,83,6.9
2017 Release Fish ,353D,88,8.1
2017 Release Fish ,3542,84,6.7
2017 Release Fish ,3543,87,7.3
2017 Release Fish ,3544,77,5.1
2017 Release Fish ,355B,84,7
2017 Release Fish ,3563,76,4.7
2017 Release Fish ,3564,88,7.2
2017 Release Fish ,3565,76,5.3
2017 Release Fish ,3576,84,6.7
2017 Release Fish ,3579,82,7.4
2017 Release Fish ,357A,81,6.4
2017 Release Fish ,357B,77,4.9
2017 Release Fish ,357D,78,5
2017 Release Fish ,3585,77,5.3
2017 Release Fish ,358D,80,5.3
2017 Release Fish ,3591,82,6.3
2017 Release Fish ,3592,79,5.5
2017 Release Fish ,3594,75,4.6
2017 Release Fish ,3595,76,5.1
2017 Release Fish ,3596,77,5.2
2017 Release Fish ,3597,84,6.9
2017 Release Fish ,359B,80,6
2017 Release Fish ,359D,83,6.6
2017 Release Fish ,35A1,82,6.1
2017 Release Fish ,35A2,85,7.3
2017 Release Fish ,35A3,89,7.1
2017 Release Fish ,35A5,76,4.9
2017 Release Fish ,35A8,78,5
2017 Release Fish ,35AB,82,6.1
2017 Release Fish ,35AC,74,4.8
2017 Release Fish ,35AE,83,7.1
2017 Release Fish ,35B3,79,5.6
2017 Release Fish ,35B5,76,4.9
2017 Release Fish ,35B7,77,5.6
2017 Release Fish ,35B9,77,5.3
2017 Release Fish ,35BA,77,5.2
2017 Release Fish ,35BB,77,4.9
2017 Release Fish ,35C5,83,6.5
2017 Release Fish ,35C9,75,4.6
2017 Release Fish ,35CA,76,4.8
2017 Release Fish ,35CB,78,5.2
