Parameter,survival,standardized,SSEUser,rkm,dist_from_rel,reach_length,name,lower,upper,cumul
Rel,1,1,,183.85,0,1,DF Rel,0,0,1
sA1,0.815978335,0.836220274,0.019742198,172.48,11.37,11.37,BCA,0.79556,0.87288,0.815978335
sA2,1.007878078,1,0.072717953,167.23,16.62,5.25,Paradise Cut Junction,0.8907,1.1924,0.822406675
sA3,0.949954781,0.870437628,0.133508572,163.53,20.32,3.7,Mossdale,0.6284,1.20077,0.781249153
sA4,0.978980471,0.955059359,0.154765383,158.45,25.4,4.62,HOR junction,0.70348,1.52712,0.764827664
sA5,0.880046341,0.952959596,0.012364519,131.93,51.92,26.52,SJC,0.92474,0.97338,0.673083788
sA6,0.924892328,0.899089019,0.03941624,123.23,60.62,7.34,Turner Cut Junction,0.81465,0.98254,0.622530031
sA7,0.40922583,0.839265556,0.020022563,72.24,111.61,50.99,Chipps,0.79726,0.8757,0.254755369
sA8,0.950466841,0.642402688,0.038705823,52.05,131.8,20.19,Benicia,0.56427,0.71519,0.242136531
lambda,0.5555,,0.0626,1.71,182.14,50.34,GG,0,0,
phiB1A7,,,,,,,,,,
phiC1A7,,,,,,,,,,
phiD1A7,,,,,,,,,,
