rounded_det,n,proportion,group
3/7/2017,4,0.033333333,rel1_2017
3/14/2017,1,0.008333333,rel1_2017
3/15/2017,2,0.016666667,rel1_2017
3/18/2017,2,0.016666667,rel1_2017
3/23/2017,1,0.008333333,rel1_2017
3/24/2017,2,0.016666667,rel1_2017
3/25/2017,1,0.008333333,rel1_2017
3/26/2017,4,0.033333333,rel1_2017
3/27/2017,2,0.016666667,rel1_2017
3/28/2017,7,0.058333333,rel1_2017
3/29/2017,12,0.1,rel1_2017
3/30/2017,8,0.066666667,rel1_2017
3/31/2017,6,0.05,rel1_2017
4/1/2017,3,0.025,rel1_2017
4/2/2017,10,0.083333333,rel1_2017
4/3/2017,7,0.058333333,rel1_2017
4/4/2017,9,0.075,rel1_2017
4/5/2017,4,0.033333333,rel1_2017
4/6/2017,4,0.033333333,rel1_2017
4/7/2017,1,0.008333333,rel1_2017
4/8/2017,3,0.025,rel1_2017
4/9/2017,3,0.025,rel1_2017
4/10/2017,1,0.008333333,rel1_2017
4/11/2017,2,0.016666667,rel1_2017
4/12/2017,2,0.016666667,rel1_2017
4/13/2017,1,0.008333333,rel1_2017
4/15/2017,1,0.008333333,rel1_2017
4/17/2017,2,0.016666667,rel1_2017
4/20/2017,2,0.016666667,rel1_2017
4/21/2017,2,0.016666667,rel1_2017
4/23/2017,2,0.016666667,rel1_2017
4/26/2017,1,0.008333333,rel1_2017
4/27/2017,2,0.016666667,rel1_2017
4/29/2017,1,0.008333333,rel1_2017
5/2/2017,3,0.025,rel1_2017
5/4/2017,1,0.008333333,rel1_2017
5/12/2017,1,0.008333333,rel1_2017
3/23/2017,24,0.083916084,rel2_2017
3/24/2017,102,0.356643357,rel2_2017
3/25/2017,20,0.06993007,rel2_2017
3/26/2017,7,0.024475524,rel2_2017
3/27/2017,4,0.013986014,rel2_2017
3/28/2017,8,0.027972028,rel2_2017
3/29/2017,4,0.013986014,rel2_2017
3/30/2017,4,0.013986014,rel2_2017
3/31/2017,6,0.020979021,rel2_2017
4/1/2017,4,0.013986014,rel2_2017
4/2/2017,16,0.055944056,rel2_2017
4/3/2017,12,0.041958042,rel2_2017
4/4/2017,11,0.038461538,rel2_2017
4/5/2017,5,0.017482517,rel2_2017
4/6/2017,3,0.01048951,rel2_2017
4/7/2017,3,0.01048951,rel2_2017
4/8/2017,2,0.006993007,rel2_2017
4/9/2017,12,0.041958042,rel2_2017
4/10/2017,8,0.027972028,rel2_2017
4/11/2017,2,0.006993007,rel2_2017
4/12/2017,6,0.020979021,rel2_2017
4/13/2017,2,0.006993007,rel2_2017
4/14/2017,4,0.013986014,rel2_2017
4/15/2017,2,0.006993007,rel2_2017
4/16/2017,2,0.006993007,rel2_2017
4/18/2017,1,0.003496503,rel2_2017
4/19/2017,2,0.006993007,rel2_2017
4/20/2017,1,0.003496503,rel2_2017
4/21/2017,2,0.006993007,rel2_2017
4/26/2017,1,0.003496503,rel2_2017
4/29/2017,1,0.003496503,rel2_2017
5/3/2017,2,0.006993007,rel2_2017
5/4/2017,2,0.006993007,rel2_2017
5/10/2017,1,0.003496503,rel2_2017
