group,ID,length,weight
SCARF1,3215,80,5.6
SCARF1,3225,82,6.1
SCARF1,3229,77,5.1
SCARF1,322D,82,6
SCARF1,3235,89,7.8
SCARF1,3245,75,4.7
SCARF1,3249,76,4.9
SCARF1,324B,91,9.2
SCARF1,324D,90,9.1
SCARF1,3252,86,7.6
SCARF1,3253,76,5.1
SCARF1,3254,84,6.9
SCARF1,3255,77,4.9
SCARF1,3257,81,5.8
SCARF1,3259,89,8.7
SCARF1,325A,81,6.4
SCARF1,325B,79,6
SCARF1,325D,75,4.9
SCARF1,3265,83,6.6
SCARF1,3269,78,5.4
SCARF1,326D,80,5.4
SCARF1,3275,77,5
SCARF1,3285,77,4.8
SCARF1,328A,86,7.3
SCARF1,328B,82,6.1
SCARF1,328D,88,8
SCARF1,3292,80,6.1
SCARF1,3293,80,6
SCARF1,3296,92,9.2
SCARF1,3299,82,6.6
SCARF1,329A,88,8.8
SCARF1,329B,77,5.1
SCARF1,329D,89,8.6
SCARF1,32A1,82,6.4
SCARF1,32A2,79,5
SCARF1,32A4,96,9.9
SCARF1,32A6,82,6.5
SCARF1,32A7,90,8.3
SCARF1,32A8,85,7.1
SCARF1,32A9,75,4.8
SCARF1,32AC,83,6.4
SCARF1,32AE,79,5.5
SCARF1,32B1,86,7
SCARF1,32B2,85,7.7
SCARF1,32B3,79,7.6
SCARF1,32B4,83,6.4
SCARF1,32B6,89,8
SCARF1,32B7,77,5.1
SCARF1,32B9,81,5.7
SCARF1,32BA,90,8.2
SCARF1,32BB,78,4.86
SCARF1,32BD,75,4.8
SCARF1,32CA,83,6.8
SCARF1,32CB,82,5.6
SCARF1,32CD,79,5.5
SCARF1,3329,81,6
SCARF1,332B,84,6.7
SCARF1,3335,77,5.4
SCARF1,3349,74,4.7
SCARF1,334B,76,5.2
SCARF1,3351,81,5.8
SCARF1,3352,82,6.3
SCARF1,3353,75,4.8
SCARF1,3354,89,8.3
SCARF1,3356,82,6.2
SCARF1,3357,86,7.8
SCARF1,3359,81,5.7
SCARF1,335A,82,6.1
SCARF1,3365,81,5.8
SCARF1,3369,76,5.1
SCARF1,336A,72,5.1
SCARF1,336B,86,7.5
SCARF1,336D,80,6.1
SCARF1,3395,79,5.6
SCARF1,33A5,83,6
SCARF1,33AB,85,6.7
SCARF1,33AD,80,6.2
SCARF1,33B5,76,4.9
SCARF1,33D5,82,6.2
SCARF1,3415,82,6.4
SCARF1,3493,77,5
SCARF1,3494,84,6.6
SCARF1,3496,82,6.6
SCARF1,3499,78,5.5
SCARF1,3524,79,5.9
SCARF1,3528,88,7.3
SCARF1,352D,80,6.2
SCARF1,352E,78,5.3
SCARF1,352F,81,6.2
SCARF1,3531,88,8.3
SCARF1,3532,81,5.8
SCARF1,3535,87,7.9
SCARF1,3536,75,5
SCARF1,3537,76,4.9
SCARF1,353B,83,6.9
SCARF1,353D,88,8.1
SCARF1,3542,84,6.7
SCARF1,3543,87,7.3
SCARF1,3544,77,5.1
SCARF1,355B,84,7
SCARF1,3563,76,4.7
SCARF1,3564,88,7.2
SCARF1,3565,76,5.3
SCARF1,3576,84,6.7
SCARF1,3579,82,7.4
SCARF1,357A,81,6.4
SCARF1,357B,77,4.9
SCARF1,357D,78,5
SCARF1,3585,77,5.3
SCARF1,358D,80,5.3
SCARF1,3591,82,6.3
SCARF1,3592,79,5.5
SCARF1,3594,75,4.6
SCARF1,3595,76,5.1
SCARF1,3596,77,5.2
SCARF1,3597,84,6.9
SCARF1,359B,80,6
SCARF1,359D,83,6.6
SCARF1,35A1,82,6.1
SCARF1,35A2,85,7.3
SCARF1,35A3,89,7.1
SCARF1,35A5,76,4.9
SCARF1,35A8,78,5
SCARF1,35AB,82,6.1
SCARF1,35AC,74,4.8
SCARF1,35AE,83,7.1
SCARF1,35B3,79,5.6
SCARF1,35B5,76,4.9
SCARF1,35B7,77,5.6
SCARF1,35B9,77,5.3
SCARF1,35BA,77,5.2
SCARF1,35BB,77,4.9
SCARF1,35C5,83,6.5
SCARF1,35C9,75,4.6
SCARF1,35CA,76,4.8
SCARF1,35CB,78,5.2
SCARF1,35CD,82,6.3
SCARF1,35D3,76,4.8
SCARF1,35D4,82,6.3
SCARF1,35D5,84,6.6
SCARF1,35D6,84,6.8
SCARF1,35D7,80,5.5
SCARF1,35D9,80,5.6
SCARF1,35DB,84,7.4
SCARF1,3500000,91,8.5
SCARF1,3629,77,5.3
SCARF1,3CA9,83,7
SCARF1,3D29,77,5.5
SCARF1,3D2B,98,10.7
SCARF1,3D55,85,7.1
SCARF1,3D5B,83,6.4
SCARF1,3D65,87,7.6
SCARF1,3D75,89,8.6
SCARF1,3DA5,88,7.8
SCARF1,3DAB,93,9.2
SCARF1,3DAD,78,5.2
SCARF1,3EA9,84,6.4
SCARF1,3EAA,84,7.2
SCARF1,3EB5,82,6.7
SCARF1,3ED5,80,5.8
SCARF1,40A5,82,6.1
SCARF1,40AA,81,5.5
SCARF1,40AB,77,4.8
SCARF1,4154,80,6
SCARF1,4155,82,6.6
SCARF1,4156,78,5.4
SCARF1,4157,79,5.6
SCARF1,4159,80,5.8
SCARF1,415A,81,6.1
SCARF1,415D,91,9.1
SCARF1,4165,75,4.7
SCARF1,4169,76,4.9
SCARF1,416A,84,6.7
SCARF1,6A17,83,6.2
SCARF1,6A19,86,7.3
SCARF2,32D5,84,6.1
SCARF2,32DD,88,7.4
SCARF2,332D,89,8.3
SCARF2,334A,85,7
SCARF2,335D,82,6
SCARF2,3449,80,5.7
SCARF2,346B,84,6.9
SCARF2,34BD,75,5
SCARF2,34D6,83,6.5
SCARF2,34EA,78,5.1
SCARF2,3519,94,9.5
SCARF2,351B,88,7.7
SCARF2,3527,77,5.3
SCARF2,352C,87,7.5
SCARF2,3534,87,7.6
SCARF2,353A,90,7.9
SCARF2,355E,90,9.5
SCARF2,356E,88,7.8
SCARF2,3571,90,8.5
SCARF2,358B,85,7.1
SCARF2,35AD,93,8.6
SCARF2,35B4,85,6.7
SCARF2,35BD,85,7.3
SCARF2,35ED,78,5.3
SCARF2,35F5,89,8.5
SCARF2,3615,89,8.1
SCARF2,362D,84,7
SCARF2,365A,86,7.2
SCARF2,3669,78,5.1
SCARF2,3691,82,6.8
SCARF2,3692,79,5.4
SCARF2,3693,87,7.9
SCARF2,36A8,75,5
SCARF2,36A9,91,8.6
SCARF2,36AB,85,6.6
SCARF2,36AC,85,7
SCARF2,36B1,85,7.3
SCARF2,36B2,77,5
SCARF2,36BB,77,5.5
SCARF2,36BD,83,7.2
SCARF2,36C5,80,7.2
SCARF2,36C9,80,5.7
SCARF2,36CA,79,5.6
SCARF2,36DA,82,6.3
SCARF2,36DB,86,7.8
SCARF2,36DD,82,6.3
SCARF2,3600000,85,7.1
SCARF2,36EA,78,5.6
SCARF2,36EB,90,7.8
SCARF2,36ED,84,6.5
SCARF2,3725,88,8.6
SCARF2,3729,94,9.6
SCARF2,372A,72,5
SCARF2,372B,86,7.5
SCARF2,372D,85,7.3
SCARF2,3745,90,8.1
SCARF2,3749,93,9.4
SCARF2,374A,83,6.5
SCARF2,374B,82,6.1
SCARF2,375A,86,7
SCARF2,375B,85,7.1
SCARF2,3765,72,4.9
SCARF2,3769,78,5.6
SCARF2,376A,82,6.3
SCARF2,376B,79,6.2
SCARF2,3775,93,9.4
SCARF2,3795,83,6.3
SCARF2,37A5,74,4.6
SCARF2,38A9,89,8
SCARF2,38AD,81,6
SCARF2,3915,82,5.9
SCARF2,394D,84,6.3
SCARF2,39A5,74,4.6
SCARF2,39A9,80,5.9
SCARF2,39B5,79,5.4
SCARF2,39D5,87,7.8
SCARF2,3A45,80,6
SCARF2,3A5A,82,6.5
SCARF2,3AA1,85,7.3
SCARF2,3AA3,83,6.7
SCARF2,3AA4,81,6
SCARF2,3AA6,80,5.7
SCARF2,3AA8,82,6.9
SCARF2,3AB2,85,7.3
SCARF2,3AB4,88,8.1
SCARF2,3AB5,82,6.4
SCARF2,3AB7,78,5.2
SCARF2,3AB9,84,7.1
SCARF2,3ABB,84,6.6
SCARF2,3AC9,77,5.2
SCARF2,3ACB,78,5.7
SCARF2,3AD9,79,5.5
SCARF2,3ADA,77,5.2
SCARF2,3AE9,81,6.1
SCARF2,3AEA,84,6.7
SCARF2,3AEB,89,8.4
SCARF2,3B53,87,7.4
SCARF2,3B5B,77,5
SCARF2,3BA5,78,5.2
SCARF2,3BA9,80,5.7
SCARF2,3BAA,79,5.4
SCARF2,3BD5,80,5.9
SCARF2,6979,84,6.9
SCARF2,697A,82,6.2
SCARF2,697B,80,5.6
SCARF2,697D,79,5.4
SCARF2,6985,78,5.3
SCARF2,6989,84,6.2
SCARF2,698A,77,5
SCARF2,698B,81,5.7
SCARF2,698D,85,7
SCARF2,6991,80,6
SCARF2,6992,84,6.2
SCARF2,6993,84,6.9
SCARF2,6994,87,7.8
SCARF2,6995,90,8.5
SCARF2,6996,91,9.3
SCARF2,6997,76,4.7
SCARF2,6999,85,7.3
SCARF2,699A,76,4.9
SCARF2,699B,86,7.4
SCARF2,69A1,84,6.7
SCARF2,69A2,83,6.6
SCARF2,69A3,88,8.3
SCARF2,69A4,89,7.8
SCARF2,69A5,83,6.7
SCARF2,69A6,87,7.3
SCARF2,69A7,86,6.7
SCARF2,69A8,85,7
SCARF2,69A9,86,7.4
SCARF2,69AB,87,7.8
SCARF2,69AC,90,8.9
SCARF2,69AD,87,7.3
SCARF2,69AE,88,8.2
SCARF2,69AF,89,8.1
SCARF2,69B1,88,8
SCARF2,69B2,91,8.9
SCARF2,69B3,77,5.5
SCARF2,69B4,83,6.4
SCARF2,69B7,84,6.5
SCARF2,69B9,84,6.6
SCARF2,69BA,85,6.6
SCARF2,69BB,86,7.3
SCARF2,69BD,89,8.6
SCARF2,69C5,75,4.7
SCARF2,69C9,80,5.7
SCARF2,69CA,84,6.8
SCARF2,69CB,78,5.5
SCARF2,69CD,75,4.6
SCARF2,69D1,83,6.7
SCARF2,69D3,84,6.7
SCARF2,69D4,77,5.2
SCARF2,69D5,85,7.2
SCARF2,69D6,86,7.4
SCARF2,69D7,77,5.2
SCARF2,69D9,92,9
SCARF2,69DA,93,9.1
SCARF2,69DB,80,5.6
SCARF2,69DD,87,7.4
SCARF2,6900000,76,5.4
SCARF2,69000000000,83,6.6
SCARF2,69EA,88,8.2
SCARF2,69EB,84,6.6
SCARF2,69ED,84,6.5
SCARF2,6A05,85,7.2
SCARF2,6A09,85,6.6
SCARF2,6A0A,90,7.5
SCARF2,6A0B,84,6.3
SCARF2,6A0D,76,5.2
SCARF2,6A11,86,7.6
SCARF2,6A12,79,6
SCARF2,6A13,81,6.3
SCARF2,6A14,83,6.5
SCARF2,6A15,85,6.9
SCARF2,6A16,86,8
SIRF1,2ECB,84,7.2
SIRF1,2ECD,78,5.8
SIRF1,2ED1,78,5.4
SIRF1,2ED2,76,4.8
SIRF1,2ED3,78,5.1
SIRF1,2ED6,75,5.4
SIRF1,2ED7,79,6.2
SIRF1,2ED9,83,6.9
SIRF1,2EDA,78,5.1
SIRF1,2EDB,80,6.3
SIRF1,2EDD,82,6.5
SIRF1,2EE5,77,5.8
SIRF1,2EEA,75,4.8
SIRF1,2EEB,90,9.5
SIRF1,2EED,72,5.5
SIRF1,2EF5,81,6.5
SIRF1,2F15,74,4.8
SIRF1,2F29,82,7
SIRF1,2F2A,85,6.7
SIRF1,2F2D,82,6.6
SIRF1,2F35,75,4.9
SIRF1,2F45,82,6.7
SIRF1,2F49,75,4.8
SIRF1,2F4A,76,5.7
SIRF1,2F4B,75,4.5
SIRF1,2F51,82,6.6
SIRF1,2F52,79,5.5
SIRF1,2F53,80,5.7
SIRF1,2F54,78,5.9
SIRF1,2F55,82,6.8
SIRF1,2F56,79,5.9
SIRF1,2F57,80,6
SIRF1,2F59,83,6.9
SIRF1,2F5A,75,4.8
SIRF1,2F5B,75,5.2
SIRF1,2F5D,77,5.9
SIRF1,2F65,80,5.9
SIRF1,2F69,76,5.4
SIRF1,2F6A,81,6.1
SIRF1,2F6B,80,6.1
SIRF1,2F6D,81,6.8
SIRF1,2F75,79,6.1
SIRF1,2F95,79,5.7
SIRF1,2FA5,78,6.1
SIRF1,2FA9,79,5.9
SIRF1,2FAA,81,6.4
SIRF1,2FAB,75,5.1
SIRF1,2FAD,73,4.5
SIRF1,2FB5,83,6.5
SIRF1,2FD5,82,6.8
SIRF1,3055,79,5.8
SIRF1,3095,82,6.5
SIRF1,30A5,78,5.7
SIRF1,30A9,75,5.4
SIRF1,30AA,76,4.9
SIRF1,30AB,83,6.9
SIRF1,30AD,70,5
SIRF1,30B5,80,6.2
SIRF1,3115,76,5.1
SIRF1,3125,80,5.7
SIRF1,3129,88,8.1
SIRF1,312B,86,7.4
SIRF1,312D,71,5.4
SIRF1,3135,83,7.3
SIRF1,3145,79,5.9
SIRF1,3149,73,5.4
SIRF1,32D9,81,6.8
SIRF1,32DA,75,5.3
SIRF1,3452,83,6.7
SIRF1,3453,79,5.7
SIRF1,3454,76,5
SIRF1,3456,83,6.2
SIRF1,3459,80,7.6
SIRF1,345B,78,5.4
SIRF1,345D,73,4.9
SIRF1,3465,74,5.2
SIRF1,3469,80,6.3
SIRF1,346A,77,5
SIRF1,346D,70,4.5
SIRF1,3475,74,5.1
SIRF1,3485,84,6.7
SIRF1,3489,81,6.9
SIRF1,348B,89,8.1
SIRF1,348D,77,6.2
SIRF1,3491,84,6.8
SIRF1,3492,78,5.7
SIRF1,349A,72,4.5
SIRF1,349B,80,6.3
SIRF1,362A,85,7.2
SIRF1,36D7,82,6.5
SIRF1,3945,78,5.9
SIRF1,3952,75,5.5
SIRF1,3A53,78,5.2
SIRF1,3A54,75,5
SIRF1,3A55,79,5.7
SIRF1,3A56,75,4.8
SIRF1,3A57,79,4.7
SIRF1,3CAA,81,5.9
SIRF1,3CAB,77,5
SIRF1,3CAD,81,7
SIRF1,3CB5,74,5.6
SIRF1,3CD5,77,5.7
SIRF1,3D15,75,5.1
SIRF1,3D25,77,5.2
SIRF1,3D2A,82,6.3
SIRF1,3D35,77,6.1
SIRF1,3D45,75,4.9
SIRF1,3D49,76,5.2
SIRF1,3D4A,78,5.9
