Parameter,Estimate,s.e.,rkm,dist_from_rel,reach_length,name,standardized,route,term1,term2_var,term3,Svar,SSE,SSEUser,lower,upper,cumul
Rel,1,0,317.79,0,1,Release,1,a,,,,,,,,,1
sA1,0.529858,0.0272976,305.42,12.37,12.37,Sandy Mush,0.598423287,a,0.006535226,0.000745159,0.311112381,1.52E-06,0.001230873,0.024923201,0.54917,0.64669,0.529858
sA2,0.630038,0.0370838,280.67,37.12,24.75,Hwy 165,0.829728597,a,0.001632486,0.001375208,0.412046545,9.25E-07,0.000961794,0.019732339,0.78893,0.8662,0.333830675
sA3,0.830535,0.036485,257.64,60.15,23.03,Hills Ferry,0.922537243,a,0.001885437,0.001331155,0.701001741,1.76E-06,0.001326417,0.017597292,0.88336,0.95239,0.277258059
sA4,0.950293,0.0227233,240.55,77.24,17.09,Crow's Landing,0.970607428,a,0.003423859,0.000516348,0.908461105,1.61E-06,0.001267309,0.013580471,0.93637,0.99039,0.263476393
sA5,0.947151,0.0278235,211.17,106.62,29.38,Grayson,0.98168887,a,0.001158501,0.000774147,0.900416969,8.08E-07,0.000898632,0.009815562,0.95771,0.9973,0.249551929
sA6,0.886991,0.0373961,181.72,136.07,29.45,Durham Ferry,0.960097906,a,0.001153,0.001398468,0.793186515,1.28E-06,0.001130912,0.013744782,0.92759,0.98184,0.221350315
sA7,1,0,172.48,145.31,9.24,BCA,1,a,0.011712674,0,1,0,0,0,0,0,0.221350315
sA8,1,0.0754481,167.23,150.56,5.25,Paradise Cut Junc.,1.036210753,a,0.036281179,0.005692416,1.030696688,0.000212867,0.014589972,0.14616075,0.8223,1.5242,0.221350315
sA9,1,0.168312,163.53,154.26,3.7,Mossdale,1.038428679,a,0.073046019,0.028328929,1.020571424,0.002111884,0.045955242,0.465837483,0.4424,1.7079,0.221350315
sA10,0.881839,0.137632,158.45,159.34,4.62,Head of Old River Junc.,0.761719416,a,0.046850696,0.018942567,0.82114452,0.000728743,0.026995243,0.257328877,0.24284,0.98897,0.195195341
sA11,0.897436,0.0485811,131.93,185.86,26.52,SJC,0.960016818,a,0.001421847,0.002360123,0.811990981,2.72E-06,0.001650705,0.019596081,0.9095,0.97755,0.175175326
sA12,0.897436,0.048581,123.23,194.56,7.34,Turner Cut Junc.,0.862923017,a,0.018561278,0.002360114,0.82949269,3.63E-05,0.006028048,0.0636414,0.70984,0.91817,0.157208644
sA13,0.420378,0.0888479,72.24,245.55,50.99,Chipps Island,0.843702712,a,0.000384618,0.007893949,0.182827731,5.55E-07,0.000745046,0.034971481,0.76659,0.90342,0.066087055
sA14,0.914435,0.0578061,52.05,265.74,20.19,Benicia Bridge,0.956663507,a,0.002453168,0.003341545,0.843633543,6.92E-06,0.002629749,0.029953296,0.87227,0.99242,0.060432316
lambda,0.409091,0.104823,1.71,316.08,50.34,Golden Gate (?),0.409091,a,0.000394615,0.010987861,0.173405226,7.52E-07,0.000867111,0.095026581,0.07726,0.43678,0.024722317
phiB1A13,0.334147,0.272822,72.24,,82.67,Paradise Cut Route (?),0.859211112,b,0.00014632,0.074431844,0.114654818,1.25E-06,0.001117449,0.097119233,0.59243,0.97636,
phiC1A13,0.410089,0.105082,72.24,,81.78,Old River Route (?),0.883917582,c,0.000149522,0.011042227,0.171879324,2.84E-07,0.000532713,0.031355126,0.8123,0.93547,
phiD1A13,0,0,72.24,,49.94,Turner Cut Route (?),0,d,0.000400962,0,0,0,0,0,0,0,
