group,Hex,Length,Weight
sjscarf1,82A4,81,5.7
sjscarf1,7491,77,5
sjscarf1,7A9A,75,4.6
sjscarf1,728A,75,4.35
sjscarf1,7AEB,79,5.1
sjscarf1,734B,77,4.9
sjscarf1,7457,76,5.4
sjscarf1,7539,75,4.5
sjscarf1,75D7,78,4.8
sjscarf1,79A9,78,5.2
sjscarf1,81AA,75,4.5
sjscarf1,7AB5,79,5.2
sjscarf1,75A1,78,5.2
sjscarf1,74CD,77,4.9
sjscarf1,76A5,80,5.3
sjscarf1,7CA9,76,4.7
sjscarf1,7D75,77,4.7
sjscarf1,7533,84,6.25
sjscarf1,7D2D,84,6.1
sjscarf1,75EB,77,5.1
sjscarf1,776B,80,5.3
sjscarf1,825A,78,4.7
sjscarf1,736A,79,5.2
sjscarf1,76B4,77,4.6
sjscarf1,7BAA,79,5.1
sjscarf1,753D,75,4.5
sjscarf1,72A1,78,4.9
sjscarf1,7D54,75,4.4
sjscarf1,764A,78,5.1
sjscarf1,7AA2,79,4.9
sjscarf1,7AA9,77,4.9
sjscarf1,7AB1,77,4.8
sjscarf1,7595,76,4.7
sjscarf1,7D6B,78,4.8
sjscarf1,764D,77,4.6
sjscarf1,7475,78,4.6
sjscarf1,79D5,78,5
sjscarf1,76D2,73,4.35
sjscarf1,72CD,77,4.7
sjscarf1,82AD,76,4.6
sjscarf1,72B1,77,4.6
sjscarf1,72A8,74,4.4
sjscarf1,732D,77,4.8
sjscarf1,72DB,77,4.5
sjscarf1,74BD,80,5.1
sjscarf1,7694,75,4.4
sjscarf1,76CA,76,4.3
sjscarf1,752E,82,5.8
sjscarf1,72D3,75,4.5
sjscarf1,7315,77,5.2
sjscarf1,72EB,77,4.8
sjscarf1,83AA,80,5.7
sjscarf1,82EA,76,4.8
sjscarf1,7B56,79,5.2
sjscarf1,78A5,75,4.3
sjscarf1,72A9,77,4.8
sjscarf1,73AA,75,4.5
sjscarf1,76EA,77,4.8
sjscarf1,724A,75,4.3
sjscarf1,722B,83,5.6
sjscarf1,842A,78,4.8
sjscarf1,72AF,75,4.4
sjscarf1,7548,76,4.7
sjscarf1,7AA8,76,4.5
sjscarf1,76AC,75,4.3
sjscarf1,82D6,78,5
sjscarf1,71B5,77,4.6
sjscarf1,7E95,78,4.8
sjscarf1,7ABA,78,5.1
sjscarf1,7229,79,5.2
sjscarf1,769B,75,4.7
sjscarf1,7335,78,4.9
sjscarf1,7456,74,4.5
sjscarf1,7D6A,76,4.4
sjscarf1,7572,76,4.4
sjscarf1,7775,77,5.1
sjscarf1,7556,77,4.8
sjscarf1,7929,84,6.2
sjscarf1,7545,72,4.4
sjscarf1,76AA,78,5.2
sjscarf1,7759,79,4.9
sjscarf1,7B54,75,4.4
sjscarf1,759D,75,4.5
sjscarf1,7485,78,5
sjscarf1,75CB,75,4.6
sjscarf1,74D3,81,5.6
sjscarf1,744B,76,4.9
sjscarf1,726B,76,4.6
sjscarf1,7AD5,78,4.7
sjscarf1,726A,78,5.2
sjscarf1,7257,76,4.3
sjscarf1,7429,74,4.3
sjscarf1,7B2A,77,4.9
sjscarf1,7445,78,4.8
sjscarf1,759A,75,4.6
sjscarf1,7345,83,5.7
sjscarf1,74DB,80,5.3
sjscarf1,7AA6,77,4.6
sjscarf1,795A,77,4.65
sjscarf1,7535,77,4.8
sjscarf1,7B35,76,4.7
sjscarf1,74D4,77,4.9
sjscarf1,775B,75,4.6
