Estimate,s.e,
lambda,0.555555556,0.062604249
psiB,0.070493659,0.022838202
psiC,0.474375327,0.048076982
psiD,0.046969242,0.02052338
qA1,0.194656488,0.024461017
qA2,0.74210551,0.02852706
qA3,0.815078291,0.025508346
qA4,0.1130518,0.029529296
qA5,0.009533988,0.009488385
qA6,0.024175255,0.023882693
qA7a,0.178608903,0.046682815
qA7b,0.237279696,0.051751168
qA7,0.042380266,0.014501444
pA7,0.957619734,0.014501444
qA8,0.027777778,0.027389263
qA9a,0.93939394,0.041540285
qA9b,0.600000004,0.219112859
qA9,0.563636368,0.22514912
pA9,0.436363632,0.22514912
qB1,0.260758173,0.210229098
qC1,0.144312295,0.127932905
qD1a,0,0
qD1b,0,0
qD1,0,0
pD1,1,0
xA8,0.444444444,0.062604249
xA7,0.061267318,0.029654646
xA6,0.591836735,0.049648174
xD1,1,0
xA5,0.087719298,0.026494723
xA4,0.120689655,0.030246643
xC1,0.851485149,0.035385396
xA3,0.085106383,0.040702236
xA2,0.115942029,0.038542242
xB1,0.533333332,0.128816977
xA1,0.082608696,0.018152076
x0,0.197142857,0.021265502
gamma_A5A7,0.008720316,0.008682313
gamma_A3A7,0.009983519,0.00993475
gamma_A1A7,0.014042436,0.006973022
S_BCAtoChipps,0.240154308,0.02546948
S_RELtoChipps,0.195960712,0.021300963
S_RELtoGG,0.103474533,0.016323184
S_HORtoChipps_mainstem,0.317443672,0.041123072
S_PCtoChipps_mainstem,0.22086397,0.027361463
pD1a,1,0
pD1b,1,0
phiD1A7,0,0
S_RELtoPC,0.822406675,0.036619668
S_RELtoBen,0.186254159,0.021148035
S_MOSStoChipps,0.232499456,0.02880158
s10sA1,0.836220274,0.019742198
s10sA2,1.015059328,0.072717953
s10sA3,0.870437628,0.133508572
s10sA4,0.955059359,0.154765383
s10sA5,0.952959596,0.012364519
s10sA6,0.899089019,0.03941624
s10sA7,0.839265556,0.020022563
s10sA8,0.642402688,0.038705823
s10lambda,0.889795745,0.019918353
