,Estimate,Alpha,Lower Bound,Upper Bound,type,rkm
phiB1A7,0.467881534,0.05,0.23538,0.71095,,
phiC1A7,0.148901477,0.05,0.08856,0.22689,,
S_BCAtoChipps,0.240154308,0.05,0.19789,0.26171,,
S_RELtoChipps,0.195960712,0.05,0.16754,0.23585,,
S_RELtoGG,0.103474533,0.05,0.07585,0.1125,,
S_HORtoChipps_mainstem,0.317443672,0.05,0.24849,0.39883,,
S_PCtoChipps_mainstem,0.22086397,0.05,0.1821,0.24129,,
Rel,1,1,0,0,s10,183.85
s10sA1,0.802442827,0.05,0.7547,0.84595,s10,172.48
s10sA2,1.015059328,0.05,0.8907,1.015059328,s10,167.23
s10sA3,0.870437628,0.05,0.6284,1.20077,s10,163.53
s10sA4,0.955059359,0.05,0.70348,1.52712,s10,158.45
s10sA5,0.952959596,0.05,0.92474,0.97338,s10,131.93
s10sA6,0.899089019,0.05,0.81465,0.98254,s10,123.23
s10sA7,0.839265556,0.05,0.79726,0.8757,s10,72.24
s10sA8,0.975151961,0.05,0.93461,1.00602,s10,52.05
s10sA2,1.015059328,0.05,0.8907,1.015059328,s10phiB,167.23
s10phiB1A7,0.912218119,0.05,0.83948,0.95958,s10phiB,76.24
s10sA8,0.975151961,0.05,0.93461,1.00602,s10phiB,52.05
s10sA4,0.955059359,0.05,0.70348,1.52712,s10phiC,158.45
s10phiC1A7,0.79225079,0.05,0.74347,0.83413,s10phiC,68.24
s10sA8,0.975151961,0.05,0.93461,1.00602,s10phiC,52.05
s10sA8,0.975151961,0.05,,,lambda,52.05
lambda,0.555555556,0.05,0.43682,0.66669,lambda,1.71
