Parameter,Estimate,Alpha,Lower Bound,Upper Bound,type,rkm
Rel,1,,1,1,surv,317.79
sA1,0.52985843,0.05,0.47645,0.58323,surv,305.42
sA2,0.630038422,0.05,0.55612,0.70081,surv,280.67
sA3,0.830534914,0.05,0.75156,0.89374,surv,257.64
sA4,0.95029303,0.05,0.89372,0.98364,surv,240.55
sA5,0.947150839,0.05,0.88077,0.99207,surv,211.17
sA6,0.886991177,0.05,0.80142,0.94744,surv,181.72
sA7,1,0,1,1,surv,172.48
sA8,1.018853242,0.05,0.9023,1.2573,surv,167.23
sA9,1.014047399,0.05,0.7394,1.6834,surv,163.53
sA10,0.881838797,0.05,0.52002,1.06088,surv,158.45
sA11,0.897435897,0.05,0.77759,0.96698,surv,131.93
sA12,0.897435899,0.05,0.77759,0.96698,surv,123.23
sA13,0.420378479,0.05,0.25787,0.59577,surv,72.24
sA14,0.914434542,0.05,0.75888,0.98494,surv,52.05
s10sA14,0.95666327,,,,lambda,52.05
lambda,0.409090915,0.05,0.22219,0.61607,lambda,1.71
phiB1A13,0.334147002,0.05,0.02278,0.75308,phiB,72.24
phiC1A13,0.410089494,0.05,0.22274,0.61759,phiC,72.24
psiA1,0.961993244,0.05,0.90331,0.99024,psi,
psiA2,0.640001874,0.05,0.5136,0.75184,psi,
psiA3,0.885714285,0.05,0.75415,0.96304,psi,
S_RELtoChipps,0.06873881,0.05,0.05157,0.09073,cumul,
S_SANDYtoChipps,0.129730521,0.05,0.09299,0.1508,cumul,
S_RELtoGG,0.025714286,0.05,0.02186,0.04188,cumul,
S_SANDYtoGG,0.048530484,0.05,0.03182,0.05818,cumul,
S_HORtoChipps_mainstem,0.29987551,0.05,0.17904,0.41983,cumul,
S_PCtoChipps_mainstem,0.303636644,0.05,0.2065,0.3996,cumul,
S_RELtoHills,0.277258441,0.05,0.2327,0.32409,cumul,
S_SANDYtoHills,0.523268907,0.05,0.4527,0.59363,cumul,
S_HILLStoDF,0.798354894,0.05,0.7129,0.83823,cumul,
S_RELtoDF,0.221350634,0.05,0.20186,0.26415,cumul,
S_SANDYtoDF,0.417754293,0.05,0.35004,0.4792,cumul,
S_RELtoBen,0.062857142,0.05,0.04568,0.085,cumul,
Rel,1,,,,s10,317.79
s10sA1,0.598423679,0.05,0.54917,0.64669,s10,305.42
s10sA2,0.829728821,0.05,0.78893,0.8662,s10,280.67
s10sA3,0.922537201,0.05,0.88336,0.95239,s10,257.64
s10sA4,0.970607445,0.05,0.93637,0.99039,s10,240.55
s10sA5,0.981688814,0.05,0.95771,0.9973,s10,211.17
s10sA6,0.960097971,0.05,0.92759,0.98184,s10,181.72
s10sA7,1,,,,s10,172.48
s10sA8,1.036217033,0.05,0.8223,1.036217033,s10,167.23
s10sA9,1.038421482,0.05,0.4424,1.038421482,s10,163.53
s10sA10,0.761719037,0.05,0.24284,0.98897,s10,158.45
s10sA11,0.960016777,0.05,0.9095,0.97755,s10,131.93
s10sA12,0.862922885,0.05,0.70984,0.91817,s10,123.23
s10sA13,0.8437029,0.05,0.76659,0.90342,s10,72.24
s10sA14,0.95666327,0.05,0.87227,0.99242,s10,52.05
s10sA8,1.036217033,0.05,0.8223,1.036217033,s10phiB,167.23
s10phiB1A13,0.859211112,0.05,0.59243,0.97636,s10phiB,76.24
s10sA14,0.95666327,0.05,0.87227,0.99242,s10phiB,52.05
s10sA10,0.761719037,0.05,0.24284,0.98897,s10phiC,158.45
s10phiC1A13,0.883917582,0.05,0.8123,0.93547,s10phiC,68.24
s10sA14,0.95666327,0.05,0.87227,0.99242,s10phiC,52.05
