"date","time","sensor_20","datetime"
2017-03-01,"0000",36500,2017-03-01 00:00:00
2017-03-01,"0015",36500,2017-03-01 00:15:00
2017-03-01,"0030",36400,2017-03-01 00:30:00
2017-03-01,"0045",36500,2017-03-01 00:45:00
2017-03-01,"0100",36500,2017-03-01 01:00:00
2017-03-01,"0115",36400,2017-03-01 01:15:00
2017-03-01,"0130",36300,2017-03-01 01:30:00
2017-03-01,"0145",36200,2017-03-01 01:45:00
2017-03-01,"0200",36300,2017-03-01 02:00:00
2017-03-01,"0215",36400,2017-03-01 02:15:00
2017-03-01,"0230",36300,2017-03-01 02:30:00
2017-03-01,"0245",36300,2017-03-01 02:45:00
2017-03-01,"0300",36400,2017-03-01 03:00:00
2017-03-01,"0315",36200,2017-03-01 03:15:00
2017-03-01,"0330",36200,2017-03-01 03:30:00
2017-03-01,"0345",36200,2017-03-01 03:45:00
2017-03-01,"0400",36100,2017-03-01 04:00:00
2017-03-01,"0415",36100,2017-03-01 04:15:00
2017-03-01,"0430",36100,2017-03-01 04:30:00
2017-03-01,"0445",36100,2017-03-01 04:45:00
2017-03-01,"0500",36100,2017-03-01 05:00:00
2017-03-01,"0515",36000,2017-03-01 05:15:00
2017-03-01,"0530",36000,2017-03-01 05:30:00
2017-03-01,"0545",36000,2017-03-01 05:45:00
2017-03-01,"0600",36000,2017-03-01 06:00:00
2017-03-01,"0615",35900,2017-03-01 06:15:00
2017-03-01,"0630",35900,2017-03-01 06:30:00
2017-03-01,"0645",35900,2017-03-01 06:45:00
2017-03-01,"0700",35800,2017-03-01 07:00:00
2017-03-01,"0715",35800,2017-03-01 07:15:00
2017-03-01,"0730",35800,2017-03-01 07:30:00
2017-03-01,"0745",35700,2017-03-01 07:45:00
2017-03-01,"0800",35700,2017-03-01 08:00:00
2017-03-01,"0815",35600,2017-03-01 08:15:00
2017-03-01,"0830",35700,2017-03-01 08:30:00
2017-03-01,"0845",35700,2017-03-01 08:45:00
2017-03-01,"0900",35600,2017-03-01 09:00:00
2017-03-01,"0915",35600,2017-03-01 09:15:00
2017-03-01,"0930",35700,2017-03-01 09:30:00
2017-03-01,"0945",35600,2017-03-01 09:45:00
2017-03-01,"1000",35500,2017-03-01 10:00:00
2017-03-01,"1015",35500,2017-03-01 10:15:00
2017-03-01,"1030",35400,2017-03-01 10:30:00
2017-03-01,"1045",35400,2017-03-01 10:45:00
2017-03-01,"1100",35400,2017-03-01 11:00:00
2017-03-01,"1115",35500,2017-03-01 11:15:00
2017-03-01,"1130",35400,2017-03-01 11:30:00
2017-03-01,"1145",35400,2017-03-01 11:45:00
2017-03-01,"1200",35400,2017-03-01 12:00:00
2017-03-01,"1215",35400,2017-03-01 12:15:00
2017-03-01,"1230",35300,2017-03-01 12:30:00
2017-03-01,"1245",35200,2017-03-01 12:45:00
2017-03-01,"1300",35200,2017-03-01 13:00:00
2017-03-01,"1315",35200,2017-03-01 13:15:00
2017-03-01,"1330",35200,2017-03-01 13:30:00
2017-03-01,"1345",35100,2017-03-01 13:45:00
2017-03-01,"1400",35200,2017-03-01 14:00:00
2017-03-01,"1415",35100,2017-03-01 14:15:00
2017-03-01,"1430",35100,2017-03-01 14:30:00
2017-03-01,"1445",35100,2017-03-01 14:45:00
2017-03-01,"1500",35100,2017-03-01 15:00:00
2017-03-01,"1515",35100,2017-03-01 15:15:00
2017-03-01,"1530",35100,2017-03-01 15:30:00
2017-03-01,"1545",35100,2017-03-01 15:45:00
2017-03-01,"1600",35100,2017-03-01 16:00:00
2017-03-01,"1615",34900,2017-03-01 16:15:00
2017-03-01,"1630",35000,2017-03-01 16:30:00
2017-03-01,"1645",34900,2017-03-01 16:45:00
2017-03-01,"1700",34900,2017-03-01 17:00:00
2017-03-01,"1715",34800,2017-03-01 17:15:00
2017-03-01,"1730",34900,2017-03-01 17:30:00
2017-03-01,"1745",34800,2017-03-01 17:45:00
2017-03-01,"1800",34900,2017-03-01 18:00:00
2017-03-01,"1815",34800,2017-03-01 18:15:00
2017-03-01,"1830",34800,2017-03-01 18:30:00
2017-03-01,"1845",34700,2017-03-01 18:45:00
2017-03-01,"1900",34700,2017-03-01 19:00:00
2017-03-01,"1915",34700,2017-03-01 19:15:00
2017-03-01,"1930",34600,2017-03-01 19:30:00
2017-03-01,"1945",34600,2017-03-01 19:45:00
2017-03-01,"2000",34600,2017-03-01 20:00:00
2017-03-01,"2015",34700,2017-03-01 20:15:00
2017-03-01,"2030",34700,2017-03-01 20:30:00
2017-03-01,"2045",34600,2017-03-01 20:45:00
2017-03-01,"2100",34500,2017-03-01 21:00:00
2017-03-01,"2115",34600,2017-03-01 21:15:00
2017-03-01,"2130",34500,2017-03-01 21:30:00
2017-03-01,"2145",34500,2017-03-01 21:45:00
2017-03-01,"2200",34500,2017-03-01 22:00:00
2017-03-01,"2215",34500,2017-03-01 22:15:00
