rounded_det,n,proportion,group
3/2/2018,214,0.63880597,2018 Upper Release
3/3/2018,83,0.247761194,2018 Upper Release
3/4/2018,18,0.053731343,2018 Upper Release
3/5/2018,3,0.008955224,2018 Upper Release
3/6/2018,3,0.008955224,2018 Upper Release
3/7/2018,3,0.008955224,2018 Upper Release
3/8/2018,3,0.008955224,2018 Upper Release
3/9/2018,3,0.008955224,2018 Upper Release
3/11/2018,1,0.002985075,2018 Upper Release
3/12/2018,1,0.002985075,2018 Upper Release
3/15/2018,1,0.002985075,2018 Upper Release
3/16/2018,1,0.002985075,2018 Upper Release
3/27/2018,1,0.002985075,2018 Upper Release
3/7/2017,4,0.033333333,2017 Upper Release
3/14/2017,1,0.008333333,2017 Upper Release
3/15/2017,2,0.016666667,2017 Upper Release
3/18/2017,2,0.016666667,2017 Upper Release
3/23/2017,1,0.008333333,2017 Upper Release
3/24/2017,2,0.016666667,2017 Upper Release
3/25/2017,1,0.008333333,2017 Upper Release
3/26/2017,4,0.033333333,2017 Upper Release
3/27/2017,2,0.016666667,2017 Upper Release
3/28/2017,7,0.058333333,2017 Upper Release
3/29/2017,12,0.1,2017 Upper Release
3/30/2017,8,0.066666667,2017 Upper Release
3/31/2017,6,0.05,2017 Upper Release
4/1/2017,3,0.025,2017 Upper Release
4/2/2017,10,0.083333333,2017 Upper Release
4/3/2017,7,0.058333333,2017 Upper Release
4/4/2017,9,0.075,2017 Upper Release
4/5/2017,4,0.033333333,2017 Upper Release
4/6/2017,4,0.033333333,2017 Upper Release
4/7/2017,1,0.008333333,2017 Upper Release
4/8/2017,3,0.025,2017 Upper Release
4/9/2017,3,0.025,2017 Upper Release
4/10/2017,1,0.008333333,2017 Upper Release
4/11/2017,2,0.016666667,2017 Upper Release
4/12/2017,2,0.016666667,2017 Upper Release
4/13/2017,1,0.008333333,2017 Upper Release
4/15/2017,1,0.008333333,2017 Upper Release
4/17/2017,2,0.016666667,2017 Upper Release
4/20/2017,2,0.016666667,2017 Upper Release
4/21/2017,2,0.016666667,2017 Upper Release
4/23/2017,2,0.016666667,2017 Upper Release
4/26/2017,1,0.008333333,2017 Upper Release
4/27/2017,2,0.016666667,2017 Upper Release
4/29/2017,1,0.008333333,2017 Upper Release
5/2/2017,3,0.025,2017 Upper Release
5/4/2017,1,0.008333333,2017 Upper Release
5/12/2017,1,0.008333333,2017 Upper Release
