"","rounded_det","n","proportion","group"
"1",2018-03-03,52,0.247619047619048,"2018 Upper Release Group"
"2",2018-03-04,45,0.214285714285714,"2018 Upper Release Group"
"3",2018-03-05,23,0.10952380952381,"2018 Upper Release Group"
"4",2018-03-06,21,0.1,"2018 Upper Release Group"
"5",2018-03-07,26,0.123809523809524,"2018 Upper Release Group"
"6",2018-03-08,15,0.0714285714285714,"2018 Upper Release Group"
"7",2018-03-09,4,0.019047619047619,"2018 Upper Release Group"
"8",2018-03-10,2,0.00952380952380952,"2018 Upper Release Group"
"9",2018-03-11,3,0.0142857142857143,"2018 Upper Release Group"
"10",2018-03-12,2,0.00952380952380952,"2018 Upper Release Group"
"11",2018-03-14,2,0.00952380952380952,"2018 Upper Release Group"
"12",2018-03-15,4,0.019047619047619,"2018 Upper Release Group"
"13",2018-03-17,1,0.00476190476190476,"2018 Upper Release Group"
"14",2018-03-18,1,0.00476190476190476,"2018 Upper Release Group"
"15",2018-03-20,1,0.00476190476190476,"2018 Upper Release Group"
"16",2018-03-22,1,0.00476190476190476,"2018 Upper Release Group"
"17",2018-03-23,2,0.00952380952380952,"2018 Upper Release Group"
"18",2018-03-24,1,0.00476190476190476,"2018 Upper Release Group"
"19",2018-03-25,1,0.00476190476190476,"2018 Upper Release Group"
"20",2018-03-27,1,0.00476190476190476,"2018 Upper Release Group"
"21",2018-03-28,2,0.00952380952380952,"2018 Upper Release Group"
