rounded_det,n,proportion,group
3/15/2018,51,0.177083333,2018 Durham Release
3/16/2018,206,0.715277778,2018 Durham Release
3/17/2018,7,0.024305556,2018 Durham Release
3/18/2018,8,0.027777778,2018 Durham Release
3/19/2018,1,0.003472222,2018 Durham Release
3/23/2018,3,0.010416667,2018 Durham Release
3/24/2018,2,0.006944444,2018 Durham Release
3/25/2018,3,0.010416667,2018 Durham Release
3/27/2018,1,0.003472222,2018 Durham Release
3/29/2018,1,0.003472222,2018 Durham Release
3/31/2018,1,0.003472222,2018 Durham Release
4/4/2018,3,0.010416667,2018 Durham Release
4/9/2018,1,0.003472222,2018 Durham Release
3/23/2017,24,0.083916084,2017 Durham Release
3/24/2017,102,0.356643357,2017 Durham Release
3/25/2017,20,0.06993007,2017 Durham Release
3/26/2017,7,0.024475524,2017 Durham Release
3/27/2017,4,0.013986014,2017 Durham Release
3/28/2017,8,0.027972028,2017 Durham Release
3/29/2017,4,0.013986014,2017 Durham Release
3/30/2017,4,0.013986014,2017 Durham Release
3/31/2017,6,0.020979021,2017 Durham Release
4/1/2017,4,0.013986014,2017 Durham Release
4/2/2017,16,0.055944056,2017 Durham Release
4/3/2017,12,0.041958042,2017 Durham Release
4/4/2017,11,0.038461538,2017 Durham Release
4/5/2017,5,0.017482517,2017 Durham Release
4/6/2017,3,0.01048951,2017 Durham Release
4/7/2017,3,0.01048951,2017 Durham Release
4/8/2017,2,0.006993007,2017 Durham Release
4/9/2017,12,0.041958042,2017 Durham Release
4/10/2017,8,0.027972028,2017 Durham Release
4/11/2017,2,0.006993007,2017 Durham Release
4/12/2017,6,0.020979021,2017 Durham Release
4/13/2017,2,0.006993007,2017 Durham Release
4/14/2017,4,0.013986014,2017 Durham Release
4/15/2017,2,0.006993007,2017 Durham Release
4/16/2017,2,0.006993007,2017 Durham Release
4/18/2017,1,0.003496503,2017 Durham Release
4/19/2017,2,0.006993007,2017 Durham Release
4/20/2017,1,0.003496503,2017 Durham Release
4/21/2017,2,0.006993007,2017 Durham Release
4/26/2017,1,0.003496503,2017 Durham Release
4/29/2017,1,0.003496503,2017 Durham Release
5/3/2017,2,0.006993007,2017 Durham Release
5/4/2017,2,0.006993007,2017 Durham Release
5/10/2017,1,0.003496503,2017 Durham Release
