rounded_det,n,proportion,group
3/23/2017,24,0.083916084,2017 Durham Release Group
3/24/2017,102,0.356643357,2017 Durham Release Group
3/25/2017,20,0.06993007,2017 Durham Release Group
3/26/2017,7,0.024475524,2017 Durham Release Group
3/27/2017,4,0.013986014,2017 Durham Release Group
3/28/2017,8,0.027972028,2017 Durham Release Group
3/29/2017,4,0.013986014,2017 Durham Release Group
3/30/2017,4,0.013986014,2017 Durham Release Group
3/31/2017,6,0.020979021,2017 Durham Release Group
4/1/2017,4,0.013986014,2017 Durham Release Group
4/2/2017,16,0.055944056,2017 Durham Release Group
4/3/2017,12,0.041958042,2017 Durham Release Group
4/4/2017,11,0.038461538,2017 Durham Release Group
4/5/2017,5,0.017482517,2017 Durham Release Group
4/6/2017,3,0.01048951,2017 Durham Release Group
4/7/2017,3,0.01048951,2017 Durham Release Group
4/8/2017,2,0.006993007,2017 Durham Release Group
4/9/2017,12,0.041958042,2017 Durham Release Group
4/10/2017,8,0.027972028,2017 Durham Release Group
4/11/2017,2,0.006993007,2017 Durham Release Group
4/12/2017,6,0.020979021,2017 Durham Release Group
4/13/2017,2,0.006993007,2017 Durham Release Group
4/14/2017,4,0.013986014,2017 Durham Release Group
4/15/2017,2,0.006993007,2017 Durham Release Group
4/16/2017,2,0.006993007,2017 Durham Release Group
4/18/2017,1,0.003496503,2017 Durham Release Group
4/19/2017,2,0.006993007,2017 Durham Release Group
4/20/2017,1,0.003496503,2017 Durham Release Group
4/21/2017,2,0.006993007,2017 Durham Release Group
4/26/2017,1,0.003496503,2017 Durham Release Group
4/29/2017,1,0.003496503,2017 Durham Release Group
5/3/2017,2,0.006993007,2017 Durham Release Group
5/4/2017,2,0.006993007,2017 Durham Release Group
5/10/2017,1,0.003496503,2017 Durham Release Group
3/15/2018,40,0.178571429,2018 Durham Release Group
3/16/2018,162,0.723214286,2018 Durham Release Group
3/17/2018,6,0.026785714,2018 Durham Release Group
3/18/2018,4,0.017857143,2018 Durham Release Group
3/19/2018,1,0.004464286,2018 Durham Release Group
3/23/2018,3,0.013392857,2018 Durham Release Group
3/24/2018,2,0.008928571,2018 Durham Release Group
3/25/2018,3,0.013392857,2018 Durham Release Group
3/27/2018,1,0.004464286,2018 Durham Release Group
3/29/2018,1,0.004464286,2018 Durham Release Group
4/9/2018,1,0.004464286,2018 Durham Release Group
